Artist/Event,Date/Time,Room,Capacity,Tickets Left,% Sold,Price,Day of Week,Hour,Price ($),Above Avg Price for Day+Hour
"SARAH DARLING, CHEYENNE MEDDERS, JENN BOSTIC, & EMILY SHACKELTON",4/30/25 20:30,WRITERS ROUND: MAIN STAGE,255,244,4.3,$15.00 ,Wednesday,20,15,FALSE
"MATTIE ROSE, HANNAH GEISER, & ERIN VIANCOURT",5/1/25 13:00,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Thursday,13,15,FALSE
STEVE DEAN & FRIENDS,5/1/25 18:00,WRITERS ROUND: MAIN STAGE,255,255,0,$20.00 ,Thursday,18,20,FALSE
"NASHVILLE BASEMENT STAGE PRESENTS BOWEN YOUNG, CALE DODDS, JUSTIN HALPIN, & RYAN KINDER",5/1/25 20:30,WRITERS ROUND: MAIN STAGE,255,129,49.4,$20.00 ,Thursday,20,20,FALSE
CAY ALIESE & FRIENDS,5/2/25 13:00,WRITERS ROUND: MAIN STAGE,255,247,3.1,$15.00 ,Friday,13,15,FALSE
KENT BLAZY & FRIENDS,5/2/25 18:00,WRITERS ROUND: MAIN STAGE,255,208,18.4,$25.00 ,Friday,18,25,FALSE
CAMERON BEDELL & FRIENDS,5/2/25 20:30,WRITERS ROUND: MAIN STAGE,255,184,27.8,$25.00 ,Friday,20,25,FALSE
"BRETT LANDIN, ANNA VAUS, JERRY FLOWERS, & PAUL SIKES",5/3/25 10:30,WRITERS ROUND: MAIN STAGE,255,206,19.2,$15.00 ,Saturday,10,15,FALSE
"LUKE STEVENS, MARK IRWIN, & JORDAN RAGER",5/3/25 13:00,WRITERS ROUND: MAIN STAGE,255,245,3.9,$15.00 ,Saturday,13,15,FALSE
TIA SILLERS & FRIENDS,5/3/25 18:00,WRITERS ROUND: MAIN STAGE,255,232,9,$25.00 ,Saturday,18,25,FALSE
BRIAN DAVIS & FRIENDS,5/3/25 20:30,WRITERS ROUND: MAIN STAGE,255,224,12.2,$25.00 ,Saturday,20,25,FALSE
HAPPY HOUR FEAT. KERR RUDGE,5/4/25 16:00,FRONT CAFE,75,66,12,$0.00 ,Sunday,16,0,FALSE
BEN ROBERTS & FRIENDS,5/4/25 18:00,WRITERS ROUND: MAIN STAGE,255,234,8.2,$20.00 ,Sunday,18,20,FALSE
ADAM JAMES & FRIENDS,5/4/25 20:30,WRITERS ROUND: MAIN STAGE,255,232,9,$25.00 ,Sunday,20,25,TRUE
LUNCH TIME TUNES FEAT. MASON PARKER,5/5/25 12:00,FRONT CAFE,75,75,0,$0.00 ,Monday,12,0,FALSE
BRAD MORGAN & FRIENDS,5/5/25 13:00,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Monday,13,15,FALSE
HAPPY HOUR FEAT. LAUREN AVERY,5/5/25 16:00,FRONT CAFE,75,67,10.7,$0.00 ,Monday,16,0,FALSE
SONG SUFFRAGETTES,5/5/25 18:00,WRITERS ROUND: MAIN STAGE,255,248,2.7,$15.00 ,Monday,18,15,FALSE
"MARY JOY MCDANIEL, LEXIE HAYDEN, & FRIENDS",5/5/25 20:30,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Monday,20,15,FALSE
LUNCH TIME TUNES FEAT. DYLAN WOLFF,5/6/25 12:00,FRONT CAFE,75,64,14.7,$0.00 ,Tuesday,12,0,FALSE
PRESTON JAMES & FRIENDS,5/6/25 18:00,WRITERS ROUND: MAIN STAGE,255,245,3.9,$15.00 ,Tuesday,18,15,FALSE
"BRADEN JAMISON, CAM NEWBY, & MARK IRWIN",5/6/25 20:30,WRITERS ROUND: MAIN STAGE,255,251,1.6,$15.00 ,Tuesday,20,15,FALSE
LUNCH TIME TUNES FEAT. BETHANY,5/7/25 12:00,FRONT CAFE,75,61,18.7,$0.00 ,Wednesday,12,0,FALSE
"MICHAEL LOGEN, GORDIE SAMPSON, & CECILIA CASTLEMAN",5/7/25 18:00,WRITERS ROUND: MAIN STAGE,255,234,8.2,$15.00 ,Wednesday,18,15,FALSE
"HANNAH MCFARLAND, VINCENT MASON, & KAYLIN ROBERSON",5/7/25 20:30,WRITERS ROUND: MAIN STAGE,255,241,5.5,$20.00 ,Wednesday,20,20,TRUE
CLOSED FOR PRIVATE EVENT,5/8/25 15:00,Sold out,,,,$0.00 ,Thursday,15,0,FALSE
LUNCH TIME TUNES FEAT. MARY JOY MCDANIEL,5/9/25 12:00,FRONT CAFE,75,69,8,$0.00 ,Friday,12,0,FALSE
"ANDREA VASQUEZ, BAILEY MORGAN, & MOLLY LOVETTE",5/9/25 13:00,WRITERS ROUND: MAIN STAGE,255,249,2.4,$15.00 ,Friday,13,15,FALSE
"BRIAN WHITE, PETE SALLIS, & KEESY TIMMER",5/9/25 18:00,WRITERS ROUND: MAIN STAGE,255,220,13.7,$25.00 ,Friday,18,25,FALSE
"DAVE TURNBULL, JORDAN WALKER,  & TOMMY KARLAS",5/9/25 20:30,WRITERS ROUND: MAIN STAGE,255,220,13.7,$25.00 ,Friday,20,25,FALSE
BRONCO REDAHAN & FRIENDS,5/10/25 10:30,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Saturday,10,15,FALSE
"DAN HARRISON, ELYSSE YULO, OMER NETZER, & MATT MCKINNEY",5/10/25 13:00,WRITERS ROUND: MAIN STAGE,255,228,10.6,$15.00 ,Saturday,13,15,FALSE
COLE TAYLOR & FRIENDS,5/10/25 18:00,WRITERS ROUND: MAIN STAGE,255,211,17.3,$25.00 ,Saturday,18,25,FALSE
"DYLAN ALTMAN, BRICE LONG, & MARSHALL ALTMAN",5/10/25 20:30,WRITERS ROUND: MAIN STAGE,255,242,5.1,$25.00 ,Saturday,20,25,FALSE
"KAT HIGGINS, JORDYN SHELLHART, ANNA VAUS, & STEPHANIE LAMBRING",5/11/25 18:00,WRITERS ROUND: MAIN STAGE,255,249,2.4,$20.00 ,Sunday,18,20,FALSE
JEB GIPSON & FRIENDS,5/11/25 20:30,WRITERS ROUND: MAIN STAGE,255,255,0,$20.00 ,Sunday,20,20,FALSE
STEPHEN SALYERS & FRIENDS,5/12/25 13:00,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Monday,13,15,FALSE
"RED STREET RECORDS TAKEOVER FEAT. CHRIS LANE, RYAN LARKINS, KELLEY LOVELACE, & ADAM HAMBRICK",5/12/25 18:00,WRITERS ROUND: MAIN STAGE,255,223,12.5,$25.00 ,Monday,18,25,TRUE
"CHRIS LOOCKE, FILMORE, BEAU BAILEY, & MATT MCKINNEY",5/12/25 20:30,WRITERS ROUND: MAIN STAGE,255,234,8.2,$20.00 ,Monday,20,20,TRUE
MCCALL CHAPIN & FRIENDS,5/13/25 18:00,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Tuesday,18,15,FALSE
"ADAM DOLEAC, TRANNIE ANDERSON, & JOSH JENKINS",5/13/25 20:30,WRITERS ROUND: MAIN STAGE,255,209,18,$20.00 ,Tuesday,20,20,TRUE
"ROUND HILL MUSIC TAKEOVER FEAT. BRANDON DAY, CHRISTIAN YANCEY, & AUSTIN G",5/14/25 18:00,WRITERS ROUND: MAIN STAGE,255,251,1.6,$15.00 ,Wednesday,18,15,FALSE
PRYOR BAIRD & FRIENDS,5/14/25 20:30,WRITERS ROUND: MAIN STAGE,255,248,2.7,$15.00 ,Wednesday,20,15,FALSE
"JET JURGENSMEYER, ERICCA LATZA, & KAYLEIGH CLARK",5/15/25 13:00,WRITERS ROUND: MAIN STAGE,255,251,1.6,$15.00 ,Thursday,13,15,FALSE
ELISE HAYES & FRIENDS,5/15/25 18:00,WRITERS ROUND: MAIN STAGE,255,251,1.6,$15.00 ,Thursday,18,15,FALSE
"BOBBY TOMBERLIN, LANCE MILLER, & RYAN LARKINS",5/15/25 20:30,WRITERS ROUND: MAIN STAGE,255,249,2.4,$20.00 ,Thursday,20,20,FALSE
"KRISSY FENIAK, TYLER JORDAN, ADAM ERNST, & JESSE SLACK",5/16/25 13:00,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Friday,13,15,FALSE
"VICTORIA BANKS, PHIL BARTON, & EMILY SHACKELTON",5/16/25 18:00,WRITERS ROUND: MAIN STAGE,255,242,5.1,$25.00 ,Friday,18,25,FALSE
ADAM HAMBRICK & FRIENDS,5/16/25 20:30,WRITERS ROUND: MAIN STAGE,255,232,9,$25.00 ,Friday,20,25,FALSE
KERR RUDGE & FRIENDS,5/17/25 10:30,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Saturday,10,15,FALSE
BAKER GRISSOM & FRIENDS,5/17/25 13:00,WRITERS ROUND: MAIN STAGE,255,255,0,$15.00 ,Saturday,13,15,FALSE
"ROTUNDO, MICHAEL RAY, & JOSH PHILLIPS",5/17/25 18:00,WRITERS ROUND: MAIN STAGE,255,211,17.3,$30.00 ,Saturday,18,30,FALSE
"BRINLEY ADDINGTON, BRETT TYLER, & FRIENDS",5/17/25 20:30,WRITERS ROUND: MAIN STAGE,255,240,5.9,$25.00 ,Saturday,20,25,FALSE
"KYLIE FREY, MARLA CANNON-GOODMAN, & EMMA ZINCK",5/18/25 18:00,WRITERS ROUND: MAIN STAGE,255,255,0,$20.00 ,Sunday,18,20,FALSE
VERYGENTLY & FRIENDS,5/18/25 20:30,WRITERS ROUND: MAIN STAGE,255,255,0,$20.00 ,Sunday,20,20,FALSE
